",",JJS,#,VB,RBR,PRP$,LS,NN,VBP,MD,VBG,EX,VBZ,RBS,JJ,.,JJR,NNPS,VBD,NNS,$,RP,``,IN,DT,TO,'',:,CC,VBN,PRP,WP,WDT,FW,NNP,UH,WRB,CD,PDT,SYM,POS,RB,label
6,2,0,11,0,2,0,39,0,4,1,0,1,1,22,14,1,0,16,8,0,0,0,17,27,6,0,1,10,4,9,1,1,0,2,0,1,0,0,0,1,17,1
3,1,0,7,0,3,0,29,3,2,3,1,2,0,8,11,1,0,14,5,0,2,0,24,21,5,0,0,4,1,15,0,1,0,3,0,0,3,1,0,1,17,0
7,0,0,10,0,1,0,18,7,2,1,0,8,0,17,11,0,0,2,5,0,1,0,10,16,3,0,0,6,3,9,0,1,0,3,0,0,0,0,0,0,6,1
4,0,0,3,0,0,0,10,0,2,2,0,0,0,7,5,0,0,7,3,0,2,0,6,8,2,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,8,0
15,0,0,16,1,15,0,92,4,6,5,5,3,0,35,21,2,0,46,20,0,3,0,58,57,13,1,1,17,14,28,1,5,0,10,0,2,0,0,0,1,23,0
8,1,0,9,0,5,0,22,4,2,3,1,1,0,11,12,0,0,14,9,0,1,0,12,19,10,1,0,8,3,13,0,1,0,4,0,2,3,0,0,1,13,0
20,1,0,8,0,16,0,72,4,3,3,3,1,2,16,25,4,0,40,8,0,0,0,42,41,8,2,2,9,14,25,1,6,2,9,0,2,2,0,0,0,32,0
1,0,0,0,0,1,0,8,1,0,2,0,0,0,8,2,1,0,11,4,0,1,0,5,9,0,0,1,5,0,8,0,0,0,1,0,0,0,0,0,0,3,1
1,0,0,2,0,0,0,11,0,2,0,0,0,0,8,5,1,0,3,2,0,0,0,7,5,2,0,0,6,1,1,0,0,0,6,0,0,1,0,0,0,7,1
4,0,0,3,1,0,0,6,0,2,0,1,0,0,4,5,0,0,5,1,0,0,0,3,7,1,0,0,1,1,3,0,0,0,5,0,0,0,0,0,0,5,0
3,0,0,12,0,7,0,27,2,5,4,0,1,0,13,12,0,0,21,6,1,2,0,20,18,6,0,0,7,3,24,0,0,0,3,0,2,4,0,0,0,28,0
6,0,0,2,0,1,0,14,4,0,2,1,4,0,12,4,0,0,3,3,0,1,0,8,13,1,0,0,2,0,6,0,0,0,3,0,1,0,0,0,0,8,0
12,1,0,22,0,8,0,61,2,6,3,3,3,0,15,29,0,0,45,17,0,3,0,42,49,18,3,0,23,4,39,1,0,1,16,1,1,5,0,0,4,22,0
1,0,0,0,1,1,0,7,1,0,0,0,2,0,6,3,0,0,2,5,0,0,0,2,8,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,7,0
6,0,0,6,0,1,0,17,2,2,3,0,3,0,13,8,1,0,8,3,0,0,0,11,20,5,0,0,6,8,9,0,0,0,5,0,1,0,0,0,0,15,1
38,1,0,25,1,9,0,76,6,7,6,2,6,1,42,31,1,1,44,25,0,2,0,51,55,18,1,5,21,9,34,1,1,3,14,0,5,7,1,0,0,56,1
6,0,0,2,0,1,0,13,0,0,0,0,1,0,13,9,0,0,13,8,0,0,0,9,19,2,0,0,6,0,6,0,1,0,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,5,0,0,1,1,0,5,6,1,0,2,4,0,0,0,4,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1
0,0,0,2,0,4,0,25,0,0,4,0,0,0,9,8,0,0,13,4,0,2,0,16,15,6,0,2,7,4,11,0,2,0,6,0,2,0,0,0,3,5,0
5,0,0,4,0,6,0,18,2,1,0,0,2,0,8,6,0,0,8,4,0,0,0,5,12,3,0,0,7,0,7,0,1,0,3,0,0,2,0,0,1,5,0
3,0,0,3,0,3,0,16,0,2,3,0,1,0,4,5,0,0,5,3,0,0,0,8,10,5,1,1,3,3,2,0,0,0,6,0,0,2,0,0,0,9,1
0,1,0,12,0,8,0,59,4,2,6,0,4,0,14,15,5,0,21,7,0,1,0,31,38,9,1,1,13,4,21,1,3,0,5,0,1,0,0,0,0,20,1
10,0,0,3,0,1,0,20,5,2,1,0,2,0,10,6,0,0,5,4,0,0,0,12,15,1,0,0,4,1,12,0,0,0,8,0,0,0,0,0,0,5,0
4,0,0,6,0,1,0,38,1,1,0,0,3,0,15,10,0,0,9,6,2,0,0,18,27,8,0,1,10,0,10,0,0,2,15,0,0,4,0,0,0,9,1
3,1,0,6,0,2,0,17,1,4,0,2,6,0,13,7,1,0,5,2,1,0,0,17,17,3,0,3,2,1,8,0,0,0,7,0,0,1,0,0,0,11,1
7,1,0,1,1,1,0,10,1,1,0,0,1,0,6,6,1,0,3,2,0,0,0,7,5,1,0,0,4,2,3,0,0,0,9,0,0,1,0,0,0,2,1
10,0,0,6,0,4,0,38,12,3,5,2,5,0,19,11,1,0,8,13,1,1,0,24,29,0,0,11,5,6,12,2,0,0,12,0,2,2,0,0,1,13,1
4,0,0,16,1,7,6,40,6,6,6,0,1,0,11,32,0,0,36,5,0,2,0,33,21,7,1,0,17,4,36,1,0,4,9,0,0,0,0,0,0,21,1
8,0,0,4,0,5,0,22,4,1,2,0,3,0,14,10,0,0,2,6,0,1,0,9,12,3,0,6,6,1,4,0,0,0,2,2,0,1,0,0,0,3,1
0,0,0,3,0,2,0,23,2,1,0,0,2,0,10,10,0,0,8,2,0,1,0,8,22,2,0,0,8,2,6,0,0,0,6,0,0,0,0,0,0,6,1
10,0,0,10,1,3,0,38,0,1,3,2,0,0,22,11,0,0,19,7,0,3,0,25,21,8,0,1,8,4,13,0,1,0,2,0,2,1,0,0,0,13,0
1,0,0,2,0,0,0,8,0,1,1,0,0,0,4,4,0,0,5,0,0,0,0,6,8,1,0,0,3,1,4,1,0,0,1,0,0,0,0,0,0,4,0
2,1,0,4,1,1,0,44,5,3,5,2,9,0,15,11,0,0,9,12,0,1,0,22,27,2,2,0,11,0,10,0,4,0,6,0,0,2,0,0,0,14,1
6,0,0,8,0,2,0,20,2,2,0,0,3,0,17,9,0,0,13,6,0,0,0,10,20,9,1,0,9,3,11,1,0,2,9,0,0,0,0,0,0,16,0
7,0,0,1,0,0,0,21,0,1,2,0,1,0,12,8,0,0,10,2,1,0,0,9,17,0,0,0,6,1,5,0,1,0,1,0,0,1,0,0,0,3,1
7,1,0,20,0,7,0,68,18,5,5,1,10,0,14,32,1,0,13,6,0,4,0,43,42,13,1,1,10,5,39,3,0,0,19,0,2,2,1,0,1,21,1
1,0,0,3,0,1,0,15,0,1,0,0,1,0,8,6,0,0,7,1,0,0,0,4,9,1,0,1,4,1,3,0,1,0,2,0,0,2,0,0,0,5,1
1,0,0,2,0,0,0,10,0,2,0,0,2,0,2,6,0,0,2,2,3,1,0,7,9,0,2,1,1,1,5,0,0,0,6,0,0,5,0,0,0,5,1
9,0,0,6,0,4,0,29,2,2,1,0,3,0,13,13,3,0,14,6,0,1,0,15,16,1,0,0,8,4,11,0,0,0,1,0,3,2,0,0,0,28,0
9,1,0,7,0,8,0,28,2,2,6,0,0,1,15,10,1,0,22,9,1,1,0,27,15,5,2,2,7,9,18,0,1,0,7,0,2,3,0,0,0,21,0
0,0,0,1,0,0,0,5,0,1,0,0,0,0,5,6,0,0,4,2,0,0,0,1,2,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,3,0
0,0,0,4,0,3,0,17,1,2,2,0,4,0,9,6,0,0,6,4,0,0,0,13,13,5,0,0,3,2,7,0,1,0,7,0,0,1,0,0,0,2,1
1,0,0,5,0,0,0,9,3,1,1,0,0,0,0,5,0,0,5,4,0,1,0,5,8,4,0,0,2,2,6,1,0,2,1,0,0,1,0,0,0,3,1
2,0,0,1,0,0,0,8,2,1,0,0,2,0,10,6,0,0,5,4,0,0,0,3,7,0,0,0,4,1,3,0,0,0,0,0,0,1,0,0,0,5,0
1,0,0,5,0,1,0,17,0,1,2,0,2,0,7,1,0,0,8,5,0,1,0,8,7,4,0,0,4,1,2,0,1,2,2,0,0,2,0,0,0,5,1
4,0,0,8,1,2,0,28,4,3,4,1,5,0,12,14,0,0,5,3,0,0,0,15,19,7,0,3,3,3,8,0,2,0,2,0,1,4,1,1,0,11,1
2,0,0,2,0,0,0,11,2,1,0,1,4,0,9,5,0,0,5,2,0,0,0,4,11,0,0,0,3,1,3,0,0,0,3,0,0,0,0,0,0,4,1
3,0,0,2,0,2,0,11,3,1,1,0,4,0,10,7,1,0,6,4,1,1,0,8,11,1,0,1,3,0,7,0,0,0,4,0,0,2,0,1,0,5,1
1,0,0,2,0,2,0,9,0,1,0,0,0,0,6,5,0,0,6,1,0,1,0,8,5,2,0,0,3,0,7,0,0,0,6,0,0,1,0,0,0,4,0
4,0,0,2,0,1,0,11,3,2,3,0,2,0,12,5,0,0,3,5,0,0,0,9,7,1,0,1,9,0,8,0,0,0,7,0,0,0,0,0,0,14,0
6,1,0,12,0,5,0,30,3,5,4,1,0,0,9,12,0,0,16,10,0,1,0,29,14,9,1,0,3,5,17,1,0,0,8,0,0,3,0,0,1,17,0
1,0,0,0,0,2,0,18,0,0,0,0,4,0,11,7,0,0,2,2,0,0,0,4,7,0,1,0,4,2,1,0,0,0,1,0,0,0,0,0,0,2,1
6,0,0,5,1,4,0,19,0,2,0,1,3,0,14,9,0,0,10,2,0,0,0,8,15,2,1,0,6,4,6,0,0,0,2,0,2,1,0,0,0,11,1
6,0,0,13,0,11,0,55,2,4,5,3,6,0,19,22,0,0,28,18,1,2,0,41,38,10,0,1,15,10,13,1,2,0,11,0,1,5,0,0,3,16,1
3,1,0,11,0,3,0,37,0,4,7,1,0,0,9,12,0,0,23,10,0,5,0,31,31,8,0,0,11,4,12,0,1,0,5,0,3,3,0,0,0,13,0
0,0,0,11,0,6,0,29,3,4,3,1,2,0,9,9,1,0,22,0,0,4,0,16,18,7,3,0,1,4,22,3,0,0,4,0,4,0,0,0,0,12,0
8,1,0,6,0,0,0,32,4,1,0,0,3,0,11,12,0,0,5,12,3,0,0,20,22,5,0,0,4,2,7,1,1,0,0,0,0,4,0,0,0,6,1
8,0,0,5,0,3,0,21,2,1,2,0,2,0,11,7,0,0,16,6,0,0,0,18,17,7,0,2,11,3,14,1,1,0,18,0,2,0,1,0,0,10,0
3,1,0,1,0,2,0,16,0,1,1,1,0,0,5,8,0,0,14,3,0,0,0,10,9,2,0,0,4,1,11,0,0,0,5,0,0,0,0,0,0,7,0
9,0,0,12,1,5,0,41,1,4,5,0,5,0,17,18,0,0,14,9,0,4,0,18,19,8,0,2,8,4,14,0,1,2,4,0,1,10,0,0,0,14,1
8,0,0,4,0,2,0,23,3,2,2,0,1,0,9,7,0,0,12,2,0,0,0,7,13,3,0,0,8,3,11,0,0,0,4,0,0,1,0,0,0,14,0
9,0,0,3,0,5,0,28,1,1,2,0,2,0,16,10,0,0,7,7,0,0,0,18,15,5,0,0,5,3,5,0,0,0,8,0,1,4,0,0,0,7,1
5,0,0,3,0,3,0,15,6,1,3,0,3,0,12,10,0,0,6,9,0,1,0,11,14,3,0,0,3,1,9,0,0,0,4,0,1,3,1,0,0,10,1
8,0,0,7,0,5,0,38,0,2,2,1,0,0,9,14,0,0,28,3,0,1,0,22,18,7,1,0,6,3,18,0,0,2,0,1,3,2,0,0,0,22,1
17,1,0,14,1,6,0,81,7,3,6,4,8,0,44,25,1,1,36,19,2,3,0,53,58,11,1,10,20,12,29,0,1,2,11,0,2,11,0,1,4,47,1
6,1,0,10,0,4,0,29,0,1,2,1,2,0,12,12,1,0,23,4,2,1,0,16,23,11,0,0,12,3,16,0,0,0,8,0,2,3,1,0,0,13,0
1,0,0,1,0,1,0,17,2,1,2,0,1,0,5,4,0,0,3,3,0,0,0,7,10,1,0,0,4,1,6,0,0,0,5,0,0,0,0,0,0,3,0
2,1,0,3,0,2,0,29,4,3,3,0,3,1,16,16,1,0,10,7,2,0,0,10,14,1,0,0,8,1,9,0,0,0,7,0,0,7,0,0,0,7,1
0,0,0,2,0,3,0,15,0,0,3,1,0,0,7,10,0,0,11,2,0,2,0,11,12,3,0,0,5,2,6,1,0,0,8,0,1,0,0,0,0,4,0
5,1,0,11,0,7,0,25,6,4,2,0,2,0,7,11,0,0,7,6,3,0,0,16,13,7,0,0,5,3,16,0,0,0,12,0,1,5,0,0,1,3,0
2,0,0,2,0,2,0,11,1,1,0,0,3,0,13,11,0,0,11,4,0,0,0,11,10,1,0,0,5,1,9,0,0,0,5,0,0,2,0,0,0,9,1
5,0,0,2,0,0,0,18,3,0,4,1,4,0,6,8,0,0,0,5,0,2,0,9,13,4,0,0,3,5,2,0,0,0,0,0,0,4,0,0,1,8,1
1,0,0,0,0,2,0,23,1,0,0,0,2,0,10,5,1,0,13,3,0,0,0,13,16,2,0,3,3,1,10,0,1,0,7,0,0,2,0,0,1,8,1
7,0,0,2,0,3,2,17,0,2,4,0,0,0,14,6,0,0,5,4,0,1,0,10,18,0,0,0,5,5,2,0,0,3,4,0,0,0,0,0,0,3,0
0,1,0,10,0,8,0,24,0,3,3,0,1,0,5,6,1,0,13,1,0,2,0,18,12,9,0,0,4,6,12,0,0,0,14,0,2,2,0,0,1,5,0
18,2,0,14,1,5,0,65,13,6,7,0,8,0,36,25,1,0,22,11,0,1,0,33,41,7,0,3,20,8,32,0,1,0,19,0,3,9,0,0,0,31,1
14,0,0,16,0,10,0,36,3,1,4,0,2,0,8,15,1,0,26,9,0,2,0,23,29,10,1,0,11,11,27,1,0,0,7,0,1,5,0,0,0,25,0
1,3,0,3,0,3,0,37,10,0,0,2,9,0,15,12,0,1,1,6,0,0,0,23,26,5,0,0,7,3,11,0,2,0,7,0,1,6,0,0,0,14,1
11,0,0,21,0,6,0,56,5,6,5,2,2,0,20,14,0,0,20,6,0,2,0,32,32,12,1,2,12,3,22,1,0,0,4,0,1,2,0,0,1,25,0
10,0,0,19,2,12,0,73,7,7,9,1,2,0,17,26,1,0,36,10,0,3,0,51,46,11,1,1,21,17,38,0,2,0,15,2,2,13,1,0,0,28,0
5,0,0,5,0,2,0,12,1,2,3,0,1,0,13,8,0,0,11,4,0,0,0,10,13,6,0,0,4,0,11,0,0,0,13,0,0,1,0,0,0,4,0
6,0,0,9,0,3,1,25,6,1,4,1,1,0,9,12,0,0,0,3,0,1,0,8,8,8,0,8,3,0,9,0,1,2,0,2,0,1,0,4,0,8,1
11,1,0,3,0,3,0,13,1,0,4,0,2,0,11,6,0,0,7,3,0,0,0,14,12,4,0,1,6,1,5,0,1,0,14,0,0,1,0,0,0,8,1
8,0,0,6,0,2,0,19,4,4,2,1,4,0,4,8,0,0,1,3,0,0,0,12,11,3,0,0,2,2,9,0,2,0,5,0,0,1,0,0,0,5,0
7,1,0,10,0,7,0,21,8,7,1,2,3,0,11,10,0,0,5,11,0,0,0,21,17,5,2,1,5,4,17,0,0,0,13,0,1,3,0,0,1,15,0
0,0,0,1,0,0,0,9,0,1,0,0,0,0,6,4,0,0,4,1,0,0,0,4,7,2,0,1,2,1,2,0,0,2,2,0,0,0,0,0,1,4,1
0,0,0,5,0,2,0,6,1,2,1,0,0,0,3,3,0,0,1,1,0,0,0,6,6,2,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,8,0
4,1,0,6,0,8,0,57,4,2,7,0,4,0,34,29,0,0,35,18,0,3,0,33,36,7,0,0,19,6,30,1,2,0,15,0,1,4,1,0,0,23,1
2,0,0,9,0,3,0,40,3,2,3,0,0,0,13,18,2,0,13,10,0,1,0,25,13,5,0,7,7,3,14,0,1,2,6,0,0,1,1,3,1,20,1
4,0,0,2,0,0,0,10,3,2,1,0,5,0,11,6,0,0,1,2,0,0,0,4,8,2,0,0,3,1,4,0,1,0,7,0,0,0,0,0,0,1,1
12,2,0,4,0,1,0,57,4,1,2,0,2,0,20,21,0,1,18,13,0,2,0,19,23,1,2,0,12,4,12,0,1,0,7,0,0,3,0,0,0,14,1
5,1,0,4,0,3,0,14,4,1,3,0,3,1,10,5,0,0,2,3,0,1,0,11,11,3,0,1,4,1,4,0,1,0,6,0,0,1,0,0,0,4,0
7,1,0,0,0,0,0,22,5,0,2,0,3,0,18,7,0,0,2,8,0,0,0,12,15,1,0,1,13,1,5,0,1,0,3,0,0,0,0,0,0,7,1
1,0,0,1,0,3,0,12,0,1,0,0,0,0,7,3,0,0,5,1,0,0,0,4,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,6,0
9,0,0,13,0,4,0,52,0,3,6,4,2,0,18,13,0,0,33,3,0,2,0,27,29,11,0,0,15,0,28,1,1,0,8,0,3,1,0,0,0,19,0
1,0,0,0,0,1,0,10,0,0,0,0,0,0,6,4,0,0,5,0,0,0,0,2,7,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,3,0
19,0,0,18,0,9,0,62,12,5,8,2,3,0,29,27,4,0,28,13,2,0,0,45,35,11,0,0,15,3,32,0,2,0,11,1,1,4,0,0,2,29,0
2,0,0,9,0,2,0,12,2,3,1,0,1,0,5,9,0,0,5,4,0,0,0,8,3,6,0,0,1,2,8,1,0,2,5,0,1,3,0,0,0,6,1
11,1,0,8,1,3,0,30,3,5,2,0,1,0,17,10,0,0,9,1,0,1,0,15,22,7,1,4,4,3,15,1,0,0,11,0,0,0,0,0,0,14,1
18,0,0,20,2,7,0,61,17,3,10,0,15,1,31,20,1,0,13,18,0,3,0,34,33,15,1,3,9,3,30,1,4,2,17,0,2,6,1,0,2,26,1
1,0,0,3,0,6,0,16,0,1,2,1,0,0,3,6,0,0,9,2,0,0,0,7,7,4,0,0,4,1,9,0,1,0,3,0,1,1,0,0,1,4,0
2,0,0,4,1,3,0,14,4,2,2,0,1,0,7,7,0,0,8,4,0,0,0,11,12,3,0,0,3,1,11,1,1,0,12,0,2,0,0,0,2,5,0
19,2,0,6,1,1,0,31,1,2,1,3,0,0,13,2,1,0,16,12,1,1,0,17,20,3,1,0,8,2,11,0,2,2,0,0,0,5,1,0,1,11,1
4,0,0,10,0,2,0,27,5,2,3,0,5,0,13,10,2,0,7,6,0,1,0,15,24,6,0,3,7,2,4,0,1,1,4,0,0,4,0,0,0,12,0
4,0,0,14,1,6,0,31,5,3,2,1,1,0,14,16,1,1,18,6,0,0,0,25,23,5,2,0,10,1,18,0,0,4,9,0,3,2,0,0,0,20,0
2,0,0,4,0,4,0,15,4,1,2,0,2,0,13,14,1,0,7,3,0,0,0,10,15,2,0,0,3,1,7,0,0,0,9,0,0,0,0,0,0,10,0
17,1,0,6,0,1,0,56,3,1,7,4,6,0,28,16,1,0,29,6,0,1,0,28,38,7,0,0,11,4,17,0,2,0,5,0,0,7,0,0,0,25,1
16,0,0,8,0,3,0,38,8,1,4,0,10,0,14,15,0,1,10,11,0,1,0,31,21,7,2,0,7,13,18,2,0,2,20,0,1,5,0,0,0,24,1
5,0,0,1,0,0,0,7,0,0,1,0,0,0,6,2,0,0,7,3,0,0,0,3,6,0,0,0,4,0,4,0,0,0,1,0,0,0,0,0,0,4,1
3,1,0,7,0,0,0,42,6,3,2,0,4,0,19,13,2,2,15,7,0,1,0,30,21,4,0,9,10,6,14,1,1,0,5,0,0,2,0,0,0,13,1
7,0,0,0,0,0,0,12,0,0,0,0,0,0,8,5,0,0,2,1,1,0,0,6,4,0,0,1,1,0,2,0,0,0,9,0,0,2,0,0,0,2,1
16,2,0,18,1,5,0,48,3,7,6,0,2,0,18,12,2,0,29,9,0,1,0,38,30,12,0,0,11,4,31,1,0,0,6,0,5,2,0,0,1,25,0
0,0,0,0,0,0,0,8,0,0,0,0,1,0,2,10,1,1,4,0,0,0,0,7,5,0,0,0,1,0,3,0,0,4,42,0,0,1,0,0,0,3,0
6,0,0,3,0,1,1,16,1,2,1,0,1,0,10,6,0,0,11,7,0,0,0,13,17,3,0,0,3,1,6,1,0,0,6,0,0,1,0,0,0,4,0
4,0,0,0,0,0,0,17,2,0,0,1,1,0,10,4,0,0,5,2,0,0,0,7,12,1,0,0,3,1,3,0,0,0,6,0,0,2,0,0,0,3,1
7,0,0,3,0,4,0,11,0,1,1,0,0,0,7,5,0,0,8,6,0,0,0,7,7,2,0,0,5,3,4,0,0,0,3,0,1,1,0,0,0,7,0
5,0,0,4,0,2,0,9,2,0,1,2,0,0,4,8,1,0,18,3,0,3,0,8,8,5,0,0,2,4,16,1,0,0,3,0,4,0,0,0,0,10,0
31,0,0,28,0,22,0,94,0,4,20,0,5,0,28,35,1,0,58,16,0,7,0,61,56,24,1,2,23,13,51,1,0,0,11,0,3,1,0,0,0,37,0
4,2,0,3,0,0,0,12,4,1,1,0,6,0,18,12,0,0,4,6,0,0,0,12,16,2,0,0,5,1,8,0,0,0,3,0,1,3,0,0,0,10,1
6,0,0,4,0,5,0,29,0,2,1,0,0,0,15,12,0,0,15,8,0,2,0,19,23,5,0,0,7,5,9,1,0,0,5,0,1,0,0,0,1,15,0
4,2,0,9,0,1,0,23,3,4,2,0,3,0,17,8,0,0,14,9,0,1,0,17,24,5,0,0,12,1,15,0,0,0,7,0,0,3,0,0,0,14,0
7,0,0,7,0,2,0,15,4,3,0,0,0,0,7,5,1,0,5,1,0,0,0,7,9,4,0,2,1,0,6,1,1,0,6,0,1,1,0,0,0,4,1
1,0,0,2,0,3,1,23,4,1,0,0,1,0,8,9,3,0,15,5,0,1,0,10,12,1,0,1,6,0,9,2,3,1,5,0,0,3,0,0,0,4,1
0,1,0,4,0,1,1,9,2,2,1,1,1,0,5,5,0,0,2,6,0,0,0,8,11,1,0,0,4,1,2,0,0,0,2,0,0,0,0,0,0,10,0
2,0,0,3,0,2,0,14,1,2,2,0,3,1,10,12,0,1,7,5,0,1,0,6,12,1,1,0,4,0,6,0,0,0,12,0,0,1,0,0,0,7,1
3,0,0,10,1,11,0,32,4,1,6,1,1,0,10,10,1,0,15,7,0,3,0,20,18,9,1,0,5,5,16,0,0,0,5,0,1,1,0,0,0,3,0
6,1,0,2,0,1,0,10,3,1,3,0,2,0,7,6,0,0,5,2,0,0,0,10,12,3,0,0,2,2,8,2,0,0,0,0,1,0,0,0,0,6,1
5,0,0,8,0,1,0,35,3,2,2,2,1,0,22,12,1,0,21,7,1,3,0,25,29,7,0,2,8,2,14,1,0,0,15,0,1,3,0,0,0,17,0
5,0,0,10,1,9,0,51,2,5,4,1,2,0,18,16,1,0,24,4,0,2,0,29,34,7,1,2,8,8,21,0,2,0,3,0,3,2,0,0,0,15,0
9,1,0,2,0,3,0,27,1,0,0,0,3,0,18,8,0,1,9,6,0,0,0,16,22,3,0,1,5,2,6,0,1,0,7,0,1,0,0,0,1,7,1
7,0,0,6,0,2,0,24,1,3,4,0,5,0,17,6,0,0,7,1,0,1,0,15,15,4,1,0,7,0,8,0,1,0,12,0,0,0,0,0,1,19,1
6,0,0,3,0,2,1,21,0,1,1,0,2,0,8,8,0,0,12,1,0,0,0,7,17,4,0,0,2,1,11,0,0,0,2,0,2,0,0,0,0,7,0
0,0,0,3,0,5,0,14,0,1,1,0,0,0,6,5,0,0,6,2,0,0,0,6,9,1,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,3,0
3,0,0,5,0,3,0,16,4,1,1,1,1,0,14,11,0,0,11,5,0,0,0,14,12,2,0,2,6,4,13,1,0,0,9,0,0,4,0,0,0,11,1
4,0,0,4,0,2,0,8,1,3,1,0,2,0,6,4,0,0,6,1,0,1,0,8,7,1,0,0,5,1,7,0,0,0,5,0,2,0,0,0,0,7,1
0,1,0,10,0,4,0,27,4,0,3,0,1,0,9,9,0,0,10,4,0,3,0,21,15,9,0,0,5,3,15,0,0,0,0,0,2,6,1,0,1,12,1
15,0,0,11,0,3,0,30,0,2,2,2,1,0,12,8,0,0,15,1,0,1,0,10,10,5,0,0,8,4,8,0,0,0,1,0,3,2,0,0,0,14,1
5,0,0,5,0,3,0,15,0,0,0,0,0,0,6,8,2,0,18,6,0,0,0,10,10,2,0,0,7,0,8,1,1,0,3,0,1,1,0,0,0,5,0
35,0,0,31,1,33,0,117,6,8,13,2,5,1,33,23,4,0,39,27,0,2,0,71,63,22,4,3,21,15,35,1,1,2,17,0,12,12,1,0,1,28,1
4,0,0,4,1,4,0,25,1,1,1,0,0,0,11,9,0,0,20,8,0,0,0,15,20,8,0,0,6,3,17,0,0,0,0,0,2,3,0,0,0,9,1
3,0,0,2,0,3,0,17,0,0,1,1,0,0,5,3,0,0,11,4,0,0,0,5,10,0,0,0,3,2,4,0,0,0,1,0,2,1,0,0,0,4,0
2,0,0,4,0,4,0,20,0,1,5,0,0,0,8,5,0,0,18,2,0,0,0,19,11,4,0,0,8,3,16,0,2,0,5,0,0,2,0,0,0,9,0
4,1,0,4,0,2,0,20,5,1,2,0,5,0,11,9,0,0,5,6,0,0,0,9,15,4,0,0,5,3,10,0,1,0,6,0,0,2,1,0,0,7,0
10,0,0,4,0,0,0,33,4,1,2,1,3,0,10,8,0,0,5,4,0,0,0,24,24,4,0,1,6,4,7,0,0,0,11,0,0,3,0,0,0,12,1
6,0,0,5,0,0,0,22,5,2,2,0,10,0,11,8,1,0,1,4,1,2,0,16,17,3,1,0,4,1,8,0,0,0,10,0,1,1,0,0,1,9,0
10,0,0,14,0,12,0,35,1,4,2,1,2,0,19,12,0,0,25,10,0,1,0,27,23,12,2,2,11,6,18,1,3,0,10,0,1,3,1,0,2,13,0
4,1,0,1,0,0,0,9,0,0,1,0,0,0,7,6,0,0,3,5,0,1,0,10,6,1,0,0,3,1,0,0,0,0,8,0,0,2,0,0,0,4,1
6,2,0,11,0,3,0,37,2,2,5,1,2,0,16,19,2,0,27,11,0,2,0,32,39,11,0,0,7,3,24,1,0,0,5,0,1,2,0,4,0,16,0
0,0,0,4,0,1,0,7,0,1,1,0,0,0,8,6,0,0,12,3,0,0,0,4,6,4,1,0,4,0,7,0,0,0,2,0,0,0,0,0,0,4,0
3,0,0,5,0,1,0,10,1,3,2,0,0,0,3,4,0,0,8,3,0,1,0,11,9,0,0,1,4,4,11,0,0,0,0,0,0,1,0,0,0,11,1
1,1,0,6,1,1,0,24,0,4,2,0,2,0,5,8,1,0,5,3,0,1,0,13,14,1,0,1,2,1,7,1,1,0,4,0,0,0,0,0,2,6,1
3,0,0,1,1,2,0,14,2,0,2,0,1,0,7,8,0,0,9,0,0,1,0,10,8,3,0,0,3,1,9,0,1,0,9,0,0,1,0,0,0,5,0
6,0,0,6,0,4,0,12,2,1,1,0,3,0,9,7,0,0,8,4,0,0,0,13,11,4,0,0,6,2,7,0,0,0,4,0,0,0,1,0,0,9,0
5,0,0,0,0,1,0,15,1,0,1,0,1,0,10,2,1,0,3,3,0,0,0,5,7,1,0,2,5,0,4,0,0,4,1,0,0,0,0,0,1,6,1
12,0,0,20,0,12,0,36,5,7,5,0,1,0,16,14,2,0,18,10,0,2,0,34,24,13,0,0,6,10,23,0,0,0,3,0,1,3,0,0,0,21,0
13,0,0,4,0,1,0,18,0,3,3,0,0,0,11,8,0,0,16,3,0,0,0,13,13,3,0,0,4,4,12,0,1,0,5,0,1,1,1,0,0,18,0
2,0,0,2,0,1,0,5,0,1,1,0,1,0,4,3,0,0,3,1,0,0,0,4,5,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,2,0
14,0,0,10,0,7,0,41,1,4,2,0,0,0,10,15,1,0,28,5,0,6,0,25,26,8,0,1,11,3,25,2,0,0,3,0,3,1,1,0,0,23,0
3,0,0,2,0,0,0,12,0,2,1,0,0,0,7,3,0,0,4,1,0,0,0,7,9,2,0,0,2,0,3,0,0,0,4,0,1,0,0,0,0,4,0
1,1,0,2,0,3,1,11,1,2,3,0,2,0,5,7,2,0,6,4,0,1,0,10,8,1,0,0,2,2,6,1,0,0,4,0,1,2,0,0,0,1,0
6,0,0,9,0,5,0,36,1,0,3,0,6,0,13,10,2,0,10,9,0,0,0,11,27,15,0,1,6,5,3,2,2,0,2,0,0,3,0,0,0,7,1
